id;gender
1;female
2;female
3;female
4;female
5;female
6;female
7;female
8;female
9;female
10;female
11;female
12;female
13;female
14;female
15;female
16;female
17;female
18;female
19;female
20;female
21;female
22;female
23;female
24;female
25;female
26;female
27;female
28;female
29;female
30;female
31;male
32;male
33;male
34;male
35;male
36;male
37;male
38;male
39;male
40;male
41;male
42;male
43;male
44;male
45;male
46;male
47;male
48;male
49;male
50;male
51;male
52;male
53;male
54;male
55;male
56;male
